movie_id,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9975
3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9975
13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.9975
17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.9975
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9975
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9975
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9975
33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
34,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9975
38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9975
42,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
48,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.9975
49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
51,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.997
52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.997
54,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
56,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9975
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
58,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.997
59,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.9975
60,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9975
61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.998
62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.998
65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.998
67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.998
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
72,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
73,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.9975
74,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.998
75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.998
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.9975
77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9975
78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.998
80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
81,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
84,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
85,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
86,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.998
87,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.998
93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.998
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.998
96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.997
99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9975
100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.998
101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.998
104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
105,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
106,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.997
107,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.998
108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9975
109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
110,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9975
111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.988
112,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
113,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.998
114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9975
117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
118,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.998
119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.998
121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9965
122,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.996
123,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.997
124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998
126,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.997
127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.997
128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.997
129,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9975
130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
131,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9975
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9975
133,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9975
134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9975
