gender_M,gender_F,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,occupation_15,occupation_16,occupation_17,occupation_18,occupation_19,occupation_20,age_1,age_18,age_25,age_35,age_45,age_50,age_56,freq_Action,freq_Adventure,freq_Animation,freq_Children,freq_Comedy,freq_Crime,freq_Documentary,freq_Drama,freq_Fantasy,freq_Film-Noir,freq_Horror,freq_Musical,freq_Mystery,freq_Romance,freq_Sci-Fi,freq_Thriller,freq_War,freq_Western
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09433962264150944,0.09433962264150944,0.33962264150943394,0.37735849056603776,0.2641509433962264,0.03773584905660377,0.0,0.39622641509433965,0.05660377358490566,0.0,0.0,0.2641509433962264,0.0,0.11320754716981132,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.43410852713178294,0.14728682170542637,0.0,0.0,0.1937984496124031,0.09302325581395349,0.0,0.6124031007751938,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.0,0.023255813953488372,0.18604651162790697,0.13178294573643412,0.24031007751937986,0.11627906976744186,0.023255813953488372
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.45098039215686275,0.49019607843137253,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.0,0.0,0.1568627450980392,0.0392156862745098,0.0,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.11764705882352941,0.09803921568627451,0.0392156862745098,0.11764705882352941
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9047619047619048,0.2857142857142857,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.2857142857142857,0.09523809523809523,0.0,0.14285714285714285,0.0,0.0,0.09523809523809523,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.09523809523809523
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.15656565656565657,0.045454545454545456,0.020202020202020204,0.030303030303030304,0.2828282828282828,0.10606060606060606,0.030303030303030304,0.5252525252525253,0.0,0.015151515151515152,0.050505050505050504,0.015151515151515152,0.04040404040404041,0.15151515151515152,0.07575757575757576,0.19696969696969696,0.030303030303030304,0.005050505050505051
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15492957746478872,0.11267605633802817,0.1267605633802817,0.22535211267605634,0.4507042253521127,0.028169014084507043,0.0,0.30985915492957744,0.028169014084507043,0.0,0.0,0.2676056338028169,0.0,0.4788732394366197,0.028169014084507043,0.04225352112676056,0.07042253521126761,0.11267605633802817
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9354838709677419,0.25806451612903225,0.0,0.0,0.0967741935483871,0.06451612903225806,0.0,0.25806451612903225,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0967741935483871,0.3225806451612903,0.4838709677419355,0.12903225806451613,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2589928057553957,0.06474820143884892,0.02877697841726619,0.02158273381294964,0.12949640287769784,0.09352517985611511,0.0,0.7769784172661871,0.0,0.0,0.007194244604316547,0.007194244604316547,0.02877697841726619,0.2158273381294964,0.09352517985611511,0.20863309352517986,0.07194244604316546,0.007194244604316547
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.18867924528301888,0.0660377358490566,0.08490566037735849,0.04716981132075472,0.25471698113207547,0.1509433962264151,0.018867924528301886,0.5094339622641509,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.16981132075471697,0.08490566037735849,0.25471698113207547,0.0660377358490566,0.009433962264150943
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.20199501246882792,0.1745635910224439,0.08229426433915212,0.1596009975062344,0.456359102244389,0.03740648379052369,0.004987531172069825,0.2892768079800499,0.09476309226932668,0.00997506234413965,0.04738154613466334,0.09226932668329177,0.0199501246882793,0.16708229426433915,0.1770573566084788,0.06733167082294264,0.059850374064837904,0.0199501246882793
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06569343065693431,0.058394160583941604,0.0072992700729927005,0.043795620437956206,0.6131386861313869,0.051094890510948905,0.014598540145985401,0.39416058394160586,0.014598540145985401,0.0,0.029197080291970802,0.021897810218978103,0.021897810218978103,0.16058394160583941,0.029197080291970802,0.13138686131386862,0.029197080291970802,0.0072992700729927005
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2608695652173913,0.13043478260869565,0.0,0.043478260869565216,0.30434782608695654,0.2608695652173913,0.0,0.5217391304347826,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6111111111111112,0.6944444444444444,0.018518518518518517,0.1111111111111111,0.16666666666666666,0.07407407407407407,0.0,0.2037037037037037,0.12962962962962962,0.009259259259259259,0.027777777777777776,0.018518518518518517,0.037037037037037035,0.12037037037037036,0.3425925925925926,0.18518518518518517,0.08333333333333333,0.027777777777777776
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16,0.0,0.0,0.0,0.32,0.12,0.0,0.52,0.0,0.0,0.16,0.0,0.04,0.24,0.08,0.16,0.04,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.27860696517412936,0.11442786069651742,0.009950248756218905,0.014925373134328358,0.31343283582089554,0.15920398009950248,0.0,0.39303482587064675,0.03482587064676617,0.009950248756218905,0.04975124378109453,0.01990049751243781,0.0945273631840796,0.12437810945273632,0.08955223880597014,0.31343283582089554,0.06467661691542288,0.014925373134328358
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.14285714285714285,0.11428571428571428,0.11428571428571428,0.6285714285714286,0.02857142857142857,0.0,0.11428571428571428,0.0,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.3142857142857143,0.14285714285714285,0.14285714285714285,0.02857142857142857,0.05714285714285714
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2985781990521327,0.16587677725118483,0.04739336492890995,0.052132701421800945,0.15639810426540285,0.10426540284360189,0.004739336492890996,0.32701421800947866,0.04265402843601896,0.05687203791469194,0.0947867298578199,0.009478672985781991,0.04265402843601896,0.07109004739336493,0.5497630331753555,0.26540284360189575,0.05687203791469194,0.009478672985781991
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4163934426229508,0.26557377049180325,0.1377049180327869,0.25573770491803277,0.26229508196721313,0.10819672131147541,0.0,0.3377049180327869,0.10819672131147541,0.009836065573770493,0.022950819672131147,0.07213114754098361,0.02622950819672131,0.14426229508196722,0.14426229508196722,0.1377049180327869,0.06885245901639345,0.029508196721311476
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.38823529411764707,0.17254901960784313,0.11764705882352941,0.11764705882352941,0.2901960784313726,0.058823529411764705,0.00392156862745098,0.15294117647058825,0.03137254901960784,0.00392156862745098,0.22745098039215686,0.06666666666666667,0.03529411764705882,0.08235294117647059,0.21176470588235294,0.20392156862745098,0.0392156862745098,0.00784313725490196
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7083333333333334,0.16666666666666666,0.0,0.0,0.16666666666666666,0.20833333333333334,0.0,0.25,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.375,0.375,0.125,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.22727272727272727,0.22727272727272727,0.6363636363636364,0.36363636363636365,0.3181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.09090909090909091,0.045454545454545456
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.35353535353535354,0.1717171717171717,0.037037037037037035,0.06397306397306397,0.4713804713804714,0.08080808080808081,0.003367003367003367,0.18518518518518517,0.04377104377104377,0.006734006734006734,0.10437710437710437,0.020202020202020204,0.037037037037037035,0.10101010101010101,0.19528619528619529,0.2962962962962963,0.04713804713804714,0.013468013468013467
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3256578947368421,0.17434210526315788,0.04276315789473684,0.07236842105263158,0.3026315789473684,0.17763157894736842,0.01644736842105263,0.23684210526315788,0.09210526315789473,0.029605263157894735,0.09868421052631579,0.01644736842105263,0.049342105263157895,0.08881578947368421,0.3651315789473684,0.3256578947368421,0.03618421052631579,0.006578947368421052
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.20588235294117646,0.19117647058823528,0.029411764705882353,0.029411764705882353,0.5294117647058824,0.09558823529411764,0.007352941176470588,0.4852941176470588,0.04411764705882353,0.007352941176470588,0.022058823529411766,0.051470588235294115,0.007352941176470588,0.27941176470588236,0.10294117647058823,0.03676470588235294,0.07352941176470588,0.022058823529411766
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5294117647058824,0.3176470588235294,0.10588235294117647,0.09411764705882353,0.3176470588235294,0.023529411764705882,0.011764705882352941,0.2235294117647059,0.07058823529411765,0.011764705882352941,0.03529411764705882,0.011764705882352941,0.011764705882352941,0.058823529411764705,0.5058823529411764,0.18823529411764706,0.15294117647058825,0.011764705882352941
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1675,0.0875,0.03,0.0775,0.5425,0.03,0.0,0.345,0.035,0.0025,0.0325,0.035,0.0325,0.255,0.0825,0.12,0.035,0.02
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0.12857142857142856,0.04285714285714286,0.08571428571428572,0.35714285714285715,0.08571428571428572,0.0,0.35714285714285715,0.12857142857142856,0.2,0.02857142857142857,0.014285714285714285,0.05714285714285714,0.12857142857142856,0.05714285714285714,0.11428571428571428,0.08571428571428572,0.02857142857142857
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.17757009345794392,0.09345794392523364,0.037383177570093455,0.056074766355140186,0.3364485981308411,0.06542056074766354,0.0,0.42990654205607476,0.037383177570093455,0.056074766355140186,0.056074766355140186,0.056074766355140186,0.04672897196261682,0.22429906542056074,0.14018691588785046,0.205607476635514,0.07476635514018691,0.028037383177570093
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8333333333333334,0.26851851851851855,0.009259259259259259,0.0,0.10185185185185185,0.07407407407407407,0.0,0.2222222222222222,0.027777777777777776,0.018518518518518517,0.06481481481481481,0.009259259259259259,0.009259259259259259,0.08333333333333333,0.26851851851851855,0.3148148148148148,0.1574074074074074,0.027777777777777776
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.18604651162790697,0.13953488372093023,0.046511627906976744,0.627906976744186,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.13953488372093023,0.06976744186046512,0.16279069767441862,0.046511627906976744,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13445378151260504,0.09243697478991597,0.025210084033613446,0.05042016806722689,0.8907563025210085,0.058823529411764705,0.008403361344537815,0.17647058823529413,0.01680672268907563,0.0,0.05042016806722689,0.058823529411764705,0.025210084033613446,0.18487394957983194,0.06722689075630252,0.04201680672268908,0.04201680672268908,0.04201680672268908
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.14583333333333334,0.041666666666666664,0.08333333333333333,0.0625,0.2708333333333333,0.10416666666666667,0.0,0.4375,0.020833333333333332,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.1875,0.10416666666666667,0.4583333333333333,0.08333333333333333,0.020833333333333332
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.17902813299232737,0.09462915601023018,0.010230179028132993,0.04603580562659847,0.21227621483375958,0.09462915601023018,0.0076726342710997444,0.41687979539641945,0.017902813299232736,0.028132992327365727,0.13554987212276215,0.043478260869565216,0.043478260869565216,0.10997442455242967,0.12020460358056266,0.22506393861892582,0.058823529411764705,0.030690537084398978
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.10365853658536585,0.07926829268292683,0.03048780487804878,0.054878048780487805,0.7317073170731707,0.03048780487804878,0.0,0.25,0.024390243902439025,0.0,0.0975609756097561,0.024390243902439025,0.018292682926829267,0.3780487804878049,0.042682926829268296,0.10975609756097561,0.012195121951219513,0.006097560975609756
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09595959595959595,0.050505050505050504,0.050505050505050504,0.05555555555555555,0.37373737373737376,0.03535353535353535,0.0,0.51010101010101,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.1414141414141414,0.05555555555555555,0.30808080808080807,0.030303030303030304,0.09090909090909091,0.06565656565656566,0.07575757575757576
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3504273504273504,0.11965811965811966,0.05698005698005698,0.04843304843304843,0.39316239316239315,0.08831908831908832,0.02849002849002849,0.3162393162393162,0.02564102564102564,0.014245014245014245,0.05128205128205128,0.022792022792022793,0.03418803418803419,0.1396011396011396,0.19373219373219372,0.25925925925925924,0.10826210826210826,0.02849002849002849
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.16981132075471697,0.11320754716981132,0.05660377358490566,0.07547169811320754,0.5471698113207547,0.018867924528301886,0.0,0.16981132075471697,0.03773584905660377,0.0,0.07547169811320754,0.1320754716981132,0.018867924528301886,0.7169811320754716,0.07547169811320754,0.07547169811320754,0.09433962264150944,0.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07,0.04,0.08,0.14,0.49,0.03,0.01,0.44,0.0,0.0,0.0,0.07,0.01,0.61,0.02,0.11,0.02,0.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1935483870967742,0.08064516129032258,0.08064516129032258,0.06451612903225806,0.45161290322580644,0.11290322580645161,0.0,0.2903225806451613,0.0,0.016129032258064516,0.06451612903225806,0.0,0.04838709677419355,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.016129032258064516,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5104166666666666,0.6354166666666666,0.010416666666666666,0.10416666666666667,0.17708333333333334,0.020833333333333332,0.0,0.21875,0.09375,0.010416666666666666,0.010416666666666666,0.03125,0.010416666666666666,0.125,0.25,0.10416666666666667,0.4270833333333333,0.020833333333333332
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.16,0.08,0.12,0.2,0.0,0.0,0.36,0.08,0.0,0.2,0.04,0.08,0.28,0.24,0.24,0.16,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5411255411255411,0.29004329004329005,0.017316017316017316,0.047619047619047616,0.2554112554112554,0.0735930735930736,0.004329004329004329,0.1774891774891775,0.09956709956709957,0.004329004329004329,0.05627705627705628,0.012987012987012988,0.021645021645021644,0.08225108225108226,0.5194805194805194,0.24242424242424243,0.05194805194805195,0.017316017316017316
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.125,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.625,0.041666666666666664,0.0,0.20833333333333334,0.0,0.0,0.0,0.041666666666666664,0.0,0.2916666666666667,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.29015544041450775,0.33678756476683935,0.09326424870466321,0.18134715025906736,0.35751295336787564,0.04145077720207254,0.0,0.18652849740932642,0.12953367875647667,0.010362694300518135,0.14507772020725387,0.08290155440414508,0.05181347150259067,0.15025906735751296,0.23834196891191708,0.16580310880829016,0.046632124352331605,0.010362694300518135
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.04377104377104377,0.06060606060606061,0.026936026936026935,0.06397306397306397,0.7912457912457912,0.013468013468013467,0.0,0.28619528619528617,0.02356902356902357,0.0,0.016835016835016835,0.050505050505050504,0.016835016835016835,0.5050505050505051,0.04377104377104377,0.04040404040404041,0.02356902356902357,0.020202020202020204
